#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 22 999 99.0 99.0  1.90 12.50  7.87 311 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 00 52 999 99.0 99.0  1.91 12.50  7.45 315 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 01 22 999 99.0 99.0  1.79 11.76  7.74 319 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 01 52 999 99.0 99.0  1.71 12.50  7.56 315 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 02 22 999 99.0 99.0  1.63 11.76  7.31 322 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 02 52 999 99.0 99.0  1.67 11.76  7.49 305 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 03 22 999 99.0 99.0  1.65 10.53  7.53 322 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 03 52 999 99.0 99.0  1.69 10.53  7.51 318 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 04 22 999 99.0 99.0  1.73 11.76  7.95 317 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 04 52 999 99.0 99.0  1.73 11.76  7.60 317 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 05 22 999 99.0 99.0  1.59 11.76  7.09 321 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 05 52 999 99.0 99.0  1.67 11.11  7.62 329 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 06 22 999 99.0 99.0  1.66 11.11  7.55 335 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 06 52 999 99.0 99.0  1.69 11.11  7.79 331 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 07 22 999 99.0 99.0  1.56 11.76  7.48 326 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 08 22 999 99.0 99.0  1.62 11.76  7.56 322 9999.0 999.0  25.0 999.0 99.0 99.00
2014 01 01 08 52 999 99.0 99.0  1.52 11.76  7.37 322 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 09 22 999 99.0 99.0  1.53 11.76  7.70 321 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 09 52 999 99.0 99.0  1.48 11.11  7.91 319 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 10 22 999 99.0 99.0  1.53 11.76  8.05 319 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 11 22 999 99.0 99.0  1.57 10.53  7.89 325 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 11 52 999 99.0 99.0  1.51 11.76  7.85 325 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 12 22 999 99.0 99.0  1.43  8.33  7.54 353 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 12 52 999 99.0 99.0  1.43 10.53  7.65 325 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 13 22 999 99.0 99.0  1.59  9.88  8.02 324 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 13 52 999 99.0 99.0  1.39 11.11  7.59 319 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 14 22 999 99.0 99.0  1.38  8.33  7.48   3 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 14 52 999 99.0 99.0  1.45 10.53  7.75 317 9999.0 999.0  25.1 999.0 99.0 99.00
2014 01 01 15 22 999 99.0 99.0  1.34 11.11  7.46 319 9999.0 999.0  25.0 999.0 99.0 99.00
