#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 02 02 21 999 99.0 99.0  1.90 11.11  8.40 335 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 02 02 51 999 99.0 99.0  1.77 10.53  8.09 325 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 02 03 21 999 99.0 99.0  1.72 11.11  8.17 335 9999.0 999.0  24.8 999.0 99.0 99.00
2010 01 02 04 21 999 99.0 99.0  1.81 10.53  8.35 336 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 04 51 999 99.0 99.0  1.85 11.11  8.15 331 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 05 21 999 99.0 99.0  2.02 11.11  8.24 338 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 05 51 999 99.0 99.0  1.97 11.11  8.05 346 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 06 21 999 99.0 99.0  2.05 10.53  7.94 336 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 06 51 999 99.0 99.0  2.05 11.11  8.06 333 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 07 21 999 99.0 99.0  1.93 11.11  7.85 340 9999.0 999.0  24.4 999.0 99.0 99.00
2010 01 02 07 51 999 99.0 99.0  1.91 11.76  8.06 318 9999.0 999.0  24.5 999.0 99.0 99.00
2010 01 02 08 21 999 99.0 99.0  1.78  9.88  7.97 339 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 08 51 999 99.0 99.0  1.68 10.53  8.05 336 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 09 21 999 99.0 99.0  1.70 11.11  8.13 346 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 09 51 999 99.0 99.0  1.61  9.88  7.89 350 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 10 21 999 99.0 99.0  1.54  9.88  7.78 335 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 10 51 999 99.0 99.0  1.69 11.11  8.01 350 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 11 21 999 99.0 99.0  1.66 10.53  8.09 355 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 11 51 999 99.0 99.0  1.57 10.53  7.85 356 9999.0 999.0  24.6 999.0 99.0 99.00
2010 01 02 12 21 999 99.0 99.0  1.57 10.53  7.81 353 9999.0 999.0  24.6 999.0 99.0 99.00
