#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 01 00 12 999 99.0 99.0  1.30 10.53  7.37 321 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 00 42 999 99.0 99.0  1.34 11.76  7.12 318 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 01 12 999 99.0 99.0  1.18 11.11  7.06 328 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 01 42 999 99.0 99.0  1.15 11.76  6.89 331 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 02 12 999 99.0 99.0  1.15 12.50  7.16 310 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 02 42 999 99.0 99.0  1.19 10.53  6.99 321 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 03 12 999 99.0 99.0  1.19 10.53  6.97 328 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 03 42 999 99.0 99.0  1.18 10.53  6.61 326 9999.0 999.0  24.2 999.0 99.0 99.00
2012 01 01 04 12 999 99.0 99.0  1.33 10.53  6.87 324 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 01 04 42 999 99.0 99.0  1.35 11.11  6.58 331 9999.0 999.0  24.1 999.0 99.0 99.00
2012 01 01 05 12 999 99.0 99.0  1.29 11.11  6.25 321 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 05 42 999 99.0 99.0  1.32 11.76  6.40 325 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 06 12 999 99.0 99.0  1.27 10.53  6.61 333 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 06 42 999 99.0 99.0  1.26 11.11  6.75 324 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 07 12 999 99.0 99.0  1.24  9.88  6.54 345 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 07 42 999 99.0 99.0  1.33 12.50  6.90 325 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 08 12 999 99.0 99.0  1.28 10.53  7.18 324 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 08 42 999 99.0 99.0  1.31 11.76  7.61 314 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 09 12 999 99.0 99.0  1.24 12.50  7.36 312 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 09 42 999 99.0 99.0  1.27 12.50  7.13 310 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 10 12 999 99.0 99.0  1.33 12.50  7.54 307 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 10 42 999 99.0 99.0  1.23 11.76  7.27 310 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 11 12 999 99.0 99.0  1.28 10.53  7.59 332 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 11 42 999 99.0 99.0  1.34 10.53  7.88 332 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 12 12 999 99.0 99.0  1.20 12.50  7.55 311 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 12 42 999 99.0 99.0  1.22 11.11  7.72 317 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 13 12 999 99.0 99.0  1.27 12.50  7.89 308 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 13 42 999 99.0 99.0  1.31 11.76  7.82 312 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 14 12 999 99.0 99.0  1.24 11.11  7.71 324 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 14 42 999 99.0 99.0  1.32 11.11  7.93 318 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 15 12 999 99.0 99.0  1.31 11.76  7.78 311 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 15 42 999 99.0 99.0  1.24 11.76  7.42 305 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 16 12 999 99.0 99.0  1.21 11.76  6.86 310 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 16 42 999 99.0 99.0  1.25 10.53  7.06 321 9999.0 999.0  24.0 999.0 99.0 99.00
2012 01 01 17 12 999 99.0 99.0  1.19 11.11  6.63 321 9999.0 999.0  24.0 999.0 99.0 99.00
