#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 00 12 999 99.0 99.0  1.36 14.29  6.90 318 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 00 42 999 99.0 99.0  1.36 13.33  7.24 310 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 01 12 999 99.0 99.0  1.40 12.50  7.28 308 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 01 42 999 99.0 99.0  1.35 12.50  7.16 308 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 02 12 999 99.0 99.0  1.48 12.50  7.55 298 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 02 42 999 99.0 99.0  1.47 12.50  7.73 322 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 03 12 999 99.0 99.0  1.36 14.29  7.74 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 03 42 999 99.0 99.0  1.40 12.50  7.90 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 04 12 999 99.0 99.0  1.40 13.33  8.20 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 04 42 999 99.0 99.0  1.47 11.76  7.97 314 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 05 12 999 99.0 99.0  1.41 14.29  7.80 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 05 42 999 99.0 99.0  1.31 12.50  7.62 311 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 06 12 999 99.0 99.0  1.41 11.76  8.40 324 9999.0 999.0  25.4 999.0 99.0 99.00
2011 01 01 06 42 999 99.0 99.0  1.44 11.76  8.37 314 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 07 12 999 99.0 99.0  1.32 11.11  7.71 321 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 07 42 999 99.0 99.0  1.42 11.76  8.24 319 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 08 12 999 99.0 99.0  1.44 10.53  8.43 326 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 08 42 999 99.0 99.0  1.49 13.33  8.70 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 09 12 999 99.0 99.0  1.39 11.76  8.55 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 09 42 999 99.0 99.0  1.57 11.76  9.33 318 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 10 12 999 99.0 99.0  1.56 14.29  9.72 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 10 42 999 99.0 99.0  1.54 14.29  9.53 311 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 11 12 999 99.0 99.0  1.57 14.29  9.69 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 11 42 999 99.0 99.0  1.76 12.50  9.78 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 12 12 999 99.0 99.0  1.97 14.29 10.70 312 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 12 42 999 99.0 99.0  1.73 14.29 10.11 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 13 12 999 99.0 99.0  1.85 14.29 10.05 315 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 13 42 999 99.0 99.0  1.91 13.33 10.83 319 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 14 12 999 99.0 99.0  1.65 14.29  9.67 305 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 14 42 999 99.0 99.0  1.76 14.29  9.89 318 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 15 12 999 99.0 99.0  1.72 13.33  9.78 317 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 15 42 999 99.0 99.0  1.60 13.33  9.73 319 9999.0 999.0  25.3 999.0 99.0 99.00
2011 01 01 16 12 999 99.0 99.0  1.53 12.50  9.42 318 9999.0 999.0  25.3 999.0 99.0 99.00
