#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 01 00 04 999 99.0 99.0  2.78 14.29 10.91 330 9999.0 999.0  25.5 999.0 99.0 99.00
2016 01 01 00 34 999 99.0 99.0  3.18 13.33 11.24 328 9999.0 999.0  25.5 999.0 99.0 99.00
2016 01 01 01 04 999 99.0 99.0  3.32 14.29 11.65 323 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 01 34 999 99.0 99.0  3.14 14.29 11.13 318 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 02 04 999 99.0 99.0  3.13 13.33 10.91 320 9999.0 999.0  25.4 999.0 99.0 99.00
2016 01 01 02 34 999 99.0 99.0  3.17 14.29 11.01 320 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 03 04 999 99.0 99.0  2.78 13.33 10.52 324 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 03 34 999 99.0 99.0  3.09 13.33 10.61 317 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 04 04 999 99.0 99.0  2.64 13.33 10.47 321 9999.0 999.0  25.3 999.0 99.0 99.00
2016 01 01 04 34 999 99.0 99.0  3.05 13.33 10.83 316 9999.0 999.0  25.2 999.0 99.0 99.00
2016 01 01 05 04 999 99.0 99.0  2.76 14.29 10.62 316 9999.0 999.0  25.2 999.0 99.0 99.00
2016 01 01 05 34 999 99.0 99.0  2.54 13.33 10.27 310 9999.0 999.0  25.2 999.0 99.0 99.00
2016 01 01 06 04 999 99.0 99.0  2.81 12.50 10.59 325 9999.0 999.0  25.2 999.0 99.0 99.00
2016 01 01 06 34 999 99.0 99.0  2.84 13.33 10.50 316 9999.0 999.0  25.2 999.0 99.0 99.00
2016 01 01 07 04 999 99.0 99.0  2.73 12.50 10.57 318 9999.0 999.0  25.1 999.0 99.0 99.00
2016 01 01 07 34 999 99.0 99.0  2.46 14.29 10.27 323 9999.0 999.0  25.1 999.0 99.0 99.00
2016 01 01 08 04 999 99.0 99.0  2.57 11.76  9.96 323 9999.0 999.0  25.1 999.0 99.0 99.00
2016 01 01 08 34 999 99.0 99.0  2.60 14.29 10.39 316 9999.0 999.0  25.1 999.0 99.0 99.00
