date,YYYY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,date,year,month,day,nshor,wshor,almo,dh,winw,wspd,wdir,nsd,ssd
2010-01-24,2010.0,1.0,24.0,21.0,51.0,999.0,,,2.62,11.76,10.41,311.0,9999.0,999.0,24.8,999.0,,,2010-01-24 21:51:00,2010.0,1.0,24.0,10.0,6.0,2.0,3.0,3.0,3.0,9.0,16.0,999
2010-01-25,2010.0,1.0,25.0,17.0,21.0,999.0,,,2.11,11.11,9.64,345.0,9999.0,999.0,24.5,999.0,,,2010-01-25 17:21:00,2010.0,1.0,25.0,5.0,2.0,2.0,3.0,3.0,2.0,17.0,1.0,8
2010-01-26,2010.0,1.0,26.0,17.0,21.0,999.0,,,1.3,13.33,7.77,338.0,9999.0,999.0,24.5,999.0,,,2010-01-26 17:21:00,2010.0,1.0,26.0,4.0,2.0,3.0,3.0,3.0,4.0,9.0,15.0,9
2010-01-27,2010.0,1.0,28.0,3.0,21.0,999.0,,,3.88,14.29,11.87,304.0,9999.0,999.0,24.3,999.0,,,2010-01-28 03:21:00,2010.0,1.0,27.0,18.0,8.0,3.0,3.0,3.0,4.0,1.0,14.0,13
2010-01-28,2010.0,1.0,28.0,17.0,21.0,999.0,,,3.53,15.38,10.57,317.0,9999.0,999.0,24.3,999.0,,,2010-01-28 17:21:00,2010.0,1.0,28.0,15.0,8.0,3.0,3.0,4.0,4.0,4.0,15.0,13
2010-01-29,2010.0,1.0,29.0,17.0,21.0,999.0,,,2.69,12.5,10.35,331.0,9999.0,999.0,24.3,999.0,,,2010-01-29 17:21:00,2010.0,1.0,29.0,8.0,5.0,3.0,3.0,4.0,2.0,17.0,16.0,13
2010-01-30,,,,,,,,,,,,,,,,,,,,2010.0,1.0,30.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,16.0,999
2010-01-31,,,,,,,,,,,,,,,,,,,,2010.0,1.0,31.0,15.0,8.0,2.0,2.0,3.0,4.0,3.0,15.0,999
2010-02-01,,,,,,,,,,,,,,,,,,,,2010.0,2.0,1.0,7.0,4.0,2.0,2.0,3.0,2.0,17.0,15.0,999
2010-02-02,,,,,,,,,,,,,,,,,,,,2010.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,11.0,15.0,999
2010-02-03,,,,,,,,,,,,,,,,,,,,2010.0,2.0,3.0,12.0,7.0,2.0,2.0,3.0,6.0,1.0,15.0,999
