#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 05 55 999 99.0 99.0  3.66 15.38 12.59 314 9999.0 999.0  24.3 999.0 99.0 99.00
2013 01 01 06 25 999 99.0 99.0  4.22 15.38 13.11 317 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 06 55 999 99.0 99.0  3.90 15.38 12.82 318 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 07 25 999 99.0 99.0  3.70 15.38 12.28 322 9999.0 999.0  24.4 999.0 99.0 99.00
2013 01 01 07 55 999 99.0 99.0  3.97 15.38 12.45 314 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 08 25 999 99.0 99.0  3.97 15.38 12.67 315 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 08 55 999 99.0 99.0  3.29 15.38 12.00 308 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 09 25 999 99.0 99.0  3.66 14.29 12.19 318 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 09 55 999 99.0 99.0  3.48 15.38 11.90 314 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 10 25 999 99.0 99.0  3.35 15.38 11.44 315 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 10 55 999 99.0 99.0  3.12 14.29 10.99 317 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 11 25 999 99.0 99.0  3.60 14.29 11.55 318 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 11 55 999 99.0 99.0  3.36 15.38 11.22 318 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 12 25 999 99.0 99.0  3.37 15.38 11.27 318 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 12 55 999 99.0 99.0  3.34 15.38 11.00 317 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 13 25 999 99.0 99.0  3.31 14.29 10.81 319 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 13 55 999 99.0 99.0  3.58 15.38 11.08 321 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 14 25 999 99.0 99.0  3.55 15.38 11.26 324 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 14 55 999 99.0 99.0  3.39 15.38 11.06 318 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 15 25 999 99.0 99.0  3.23 14.29 10.73 319 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 15 55 999 99.0 99.0  3.00 15.38 10.30 321 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 16 25 999 99.0 99.0  3.06 14.29 10.17 315 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 16 55 999 99.0 99.0  3.04 15.38  9.62 329 9999.0 999.0  24.6 999.0 99.0 99.00
2013 01 01 17 25 999 99.0 99.0  3.85 15.38 10.43 324 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 17 55 999 99.0 99.0  3.72 15.38  9.76 325 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 18 25 999 99.0 99.0  3.91 14.29  9.79 325 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 18 55 999 99.0 99.0  4.00 14.29  9.27 318 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 19 25 999 99.0 99.0  3.70 15.38  8.78 321 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 19 55 999 99.0 99.0  3.69 12.50  8.16 317 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 20 25 999 99.0 99.0  3.80 15.38  8.42 314 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 20 55 999 99.0 99.0  3.83 15.38  8.50 318 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 21 25 999 99.0 99.0  3.87 14.29  8.66 318 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 21 55 999 99.0 99.0  3.59 12.50  8.20 321 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 22 25 999 99.0 99.0  3.52 14.29  8.38 317 9999.0 999.0  24.5 999.0 99.0 99.00
2013 01 01 22 55 999 99.0 99.0  3.64 13.33  8.94 322 9999.0 999.0  24.5 999.0 99.0 99.00
